test,ranking,prerank,id,name,id2,horse,con,points
test,1,1,10010680,"VON BREDOW-WERNDL, Jessica",105AH62,TSF DALERA BB,GER,3042
test,2,3,10019441,"LAUDRUP-DUFOUR, Cathrine",106IM83,VAMOS AMIGOS,DEN,2791
test,3,2,10019441,"LAUDRUP-DUFOUR, Cathrine",105HB71,BOHEMIAN,DEN,2716
test,4,5,10011389,"WERTH, Isabell",106CM92,DSP QUANTAZ,GER,2589
test,5,4,10083518,"KRÜTH, Carina Cassøe",105GZ66,HEILINE'S DANCIERA,DEN,2589
test,6,6,10090002,"VAN LIERE, Dinja",105SD82,HERMES N.O.P.,NED,2580
test,7,16,10066419,"FRY, Charlotte",105HH76,GLAMOURDALE,GBR,2565
test,8,7,10000024,"KITTEL, Patrik",105SH67,TOUCHDOWN,SWE,2489
test,9,11,10055420,"BACHMANN ANDERSEN, Daniel",107BX43,MARSHALL-BELL,DEN,2423
test,10,9,10138895,"WANDRES, Frederic",103LO51,DUKE OF BRITAIN FRH,GER,2379
test,11,185,10015662,"LYLE, Adrienne",103LR77,SALVINO,USA,2369
test,12,8,10010716,"RUOSTE, Henri",106ON70,KONTESTRO DB,FIN,2363
test,13,14,10120821,"NILSHAGEN, Therese",104VX30,DANTE WELTINO OLD,SWE,2354
test,14,117,10010674,"WERNDL, Benjamin",105LM90,FAMOSO OLD,GER,2342
test,15,10,10029121,"MERRALD RASMUSSEN, Nanna",103XJ10,ATTERUPGAARDS ORTHILIA,DEN,2326
test,16,12,10066419,"FRY, Charlotte",105FU85,DARK LEGEND,GBR,2285
test,17,13,10011389,"WERTH, Isabell",102ZI90,WEIHEGOLD OLD,GER,2282
test,18,19,10019383,"RAMEL, Juliette",104EF70,BURIEL K.H.,SWE,2278
test,19,15,10066419,"FRY, Charlotte",105OB61,EVERDALE,GBR,2253
test,20,17,10012844,"LANGEHANENBERG, Helen",105ED34,ANNABELLE 110,GER,2189
test,21,18,10000024,"KITTEL, Patrik",105AK05,BLUE HORS ZEPTER,SWE,2187
test,22,22,10003413,"PETERS, Steffen",105DN05,SUPPENKASPER,USA,2180
test,23,21,10138895,"WANDRES, Frederic",104PV99,BLUETOOTH OLD,GER,2141
test,24,20,10023552,"SCHNEIDER, Dorothee",105GT42,FAUSTUS 94,GER,2134
test,25,27,10009332,"GARCIA MENA, José Antonio",104UX85,DIVINA ROYAL,ESP,2085
test,26,24,10023552,"SCHNEIDER, Dorothee",104XU85,FIRST ROMANCE 2,GER,2021
test,27,194,10030561,"SCHOLTENS, Emmelie",106DI84,INDIAN ROCK,NED,2018
test,28,26,10003267,"MATUTE GUIMON, Juan",104FE38,QUANTICO,ESP,2014
test,29,23,10010680,"VON BREDOW-WERNDL, Jessica",104JU05,FERDINAND BB,GER,2011
test,30,109,10009695,"KLIMKE, Ingrid",104FC44,FRANZISKUS 15,GER,2002
test,31,25,10198717,"SCHOLZ, Carina",106OG59,TARANTINO 5,GER,1996
test,32,307,10028440,"DUJARDIN, Charlotte",107EI64,IMHOTEP,GBR,1988
test,33,28,10028962,"BARBANÇON, Morgan",103RO36,SIR DONNERHALL II OLD,FRA,1985
test,34,29,10088304,"VANOMMESLAGHE, Laurence",106MR65,EDISON,BEL,1973
test,35,40,10007873,"ZWEISTRA, Thamar",106UA71,HEXAGON'S ICH WEISS,NED,1972
test,36,311,10029550,"HUGHES, Gareth",104HK07,CLASSIC BRIOLINCA,GBR,1965
test,37,31,10037316,"FRASER-BEAULIEU, Brittany",103CI17,ALL IN,CAN,1957
test,38,102,10065305,"MARTIN DOCKX, Jose Daniel",106IR73,MALAGUENO LXXXIII,ESP,1956
test,39,32,10042954,"JORST, Charlotte",103YF35,KASTEL'S NINTENDO,USA,1951
test,40,33,10089279,"BUFFINI, Anna",103VB39,FRH DAVINIA LA DOUCE,USA,1948
test,41,49,10096686,"BACHER, Florian",105RK08,FIDERTRAUM OLD,AUT,1946
test,42,34,10065114,"ZINDORFF, Lone Bang",105XL78,THRANEGAARDENS ROSTOV,DEN,1939
test,43,35,10028626,"MÜLLER-LÜTKEMEIER, Fabienne",106MG70,VALESCO 50,GER,1932
test,44,36,10011354,"HOLZER, Ashley",103WC71,HAVANNA 145,USA,1932
test,45,38,10090004,"VAN DER PUTTEN, Marieke",106ME78,TORVESLETTENS TITANIUM RS2,NED,1931
test,46,50,10041066,"WAGNER EHLINGER, Nicolas",104IN23,QUATER BACK JUNIOR FRH,LUX,1930
test,47,37,10138895,"WANDRES, Frederic",105GT99,HOT HIT OLD,GER,1929
test,48,54,10058623,"MARCARI OLIVA, João Victor",104TQ32,ESCORIAL HORSECAMPLINE,BRA,1919
test,49,39,10055453,"RAMEL, Antonia",104YR30,CURIOSITY,SWE,1913
test,50,56,10015793,"KANERVA, Emma",106DM46,GREEK AIR,FIN,1902
